%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1554973784843774544,8,1554973784843524932,,0.0,1.0,1.0
1554973784943665795,9,1554973784943491935,,0.0,1.0,1.0
1554973785043657655,10,1554973785043490886,,0.0,0.0,1.0
1554973785143852536,11,1554973785143522977,,1.0,1.0,1.0
1554973785243988144,12,1554973785243566036,,1.0,1.0,1.0
1554973785343736051,13,1554973785343518972,,1.0,0.0,1.0
1554973785443713808,14,1554973785443506956,,0.0,0.0,1.0
1554973785543782689,15,1554973785543529033,,1.0,0.0,1.0
1554973785643765345,16,1554973785643533945,,0.0,0.0,1.0
1554973785743807315,17,1554973785743563890,,0.0,0.0,1.0
1554973785843698087,18,1554973785843519926,,1.0,0.0,1.0
1554973785943857137,19,1554973785943511009,,0.0,1.0,1.0
1554973786043786962,20,1554973786043589115,,0.0,0.0,1.0
1554973786143717822,21,1554973786143505096,,0.0,0.0,1.0
1554973786243689768,22,1554973786243490934,,1.0,1.0,1.0
1554973786343718877,23,1554973786343518018,,1.0,0.0,1.0
1554973786443748500,24,1554973786443514108,,0.0,1.0,1.0
1554973786543696738,25,1554973786543519020,,1.0,1.0,1.0
1554973786643658142,26,1554973786643487930,,0.0,0.0,1.0
1554973786743751711,27,1554973786743520021,,1.0,1.0,1.0
1554973786843941244,28,1554973786843545913,,1.0,1.0,1.0
1554973786943741343,29,1554973786943520069,,0.0,0.0,1.0
1554973787043687976,30,1554973787043524026,,1.0,1.0,1.0
1554973787143667339,31,1554973787143526077,,1.0,1.0,1.0
1554973787243884132,32,1554973787243565082,,1.0,0.0,1.0
1554973787343715405,33,1554973787343499898,,1.0,0.0,1.0
1554973787443701147,34,1554973787443485975,,1.0,1.0,1.0
1554973787543694096,35,1554973787543499946,,0.0,0.0,1.0
1554973787643737460,36,1554973787643505096,,1.0,0.0,1.0
1554973787743721299,37,1554973787743505001,,1.0,0.0,1.0
1554973787843843666,38,1554973787843578100,,0.0,0.0,1.0
1554973787943830058,39,1554973787943567991,,0.0,0.0,1.0
1554973788043740379,40,1554973788043494939,,1.0,0.0,1.0
1554973788143779951,41,1554973788143491983,,1.0,1.0,1.0
1554973788243775446,42,1554973788243526935,,0.0,1.0,1.0
1554973788343662690,43,1554973788343489885,,0.0,0.0,1.0
1554973788443669700,44,1554973788443490028,,0.0,1.0,1.0
1554973788543686915,45,1554973788543515920,,1.0,0.0,1.0
1554973788643706310,46,1554973788643517971,,0.0,0.0,1.0
1554973788743686090,47,1554973788743498086,,1.0,1.0,1.0
1554973788843780027,48,1554973788843497037,,1.0,0.0,1.0
1554973788943815134,49,1554973788943568944,,1.0,1.0,1.0
1554973789043658449,50,1554973789043484926,,0.0,0.0,1.0
1554973789143739184,51,1554973789143510103,,0.0,1.0,1.0
1554973789243768805,52,1554973789243547916,,0.0,1.0,1.0
1554973789343704711,53,1554973789343503952,,0.0,1.0,1.0
1554973789443700626,54,1554973789443531990,,0.0,1.0,1.0
1554973789543700629,55,1554973789543505907,,1.0,0.0,1.0
1554973789643666655,56,1554973789643497943,,0.0,1.0,1.0
1554973789743874375,57,1554973789743505954,,0.0,0.0,1.0
1554973789843671438,58,1554973789843496084,,0.0,1.0,1.0
1554973789943710112,59,1554973789943509101,,0.0,1.0,1.0
1554973790043707706,60,1554973790043488979,,1.0,1.0,1.0
1554973790143681968,61,1554973790143490076,,1.0,0.0,1.0
1554973790243632533,62,1554973790243396997,,1.0,1.0,1.0
1554973790343651785,63,1554973790343486070,,1.0,1.0,1.0
1554973790443790688,64,1554973790443545103,,1.0,0.0,1.0
1554973790543700661,65,1554973790543523073,,0.0,0.0,1.0
1554973790643692577,66,1554973790643487930,,0.0,0.0,1.0
1554973790743709202,67,1554973790743503093,,0.0,1.0,1.0
1554973790843661948,68,1554973790843487024,,0.0,0.0,1.0
1554973790943641252,69,1554973790943473100,,0.0,0.0,1.0
1554973791043659290,70,1554973791043488979,,0.0,1.0,1.0
1554973791143656360,71,1554973791143486022,,0.0,1.0,1.0
1554973791243657874,72,1554973791243486881,,0.0,0.0,1.0
1554973791343846583,73,1554973791343492984,,0.0,1.0,1.0
1554973791443710805,74,1554973791443510055,,1.0,0.0,1.0
1554973791543714138,75,1554973791543483972,,1.0,0.0,1.0
1554973791643661451,76,1554973791643469095,,1.0,0.0,1.0
1554973791743680518,77,1554973791743499994,,1.0,0.0,1.0
1554973791843629777,78,1554973791843487024,,0.0,0.0,1.0
1554973791943718799,79,1554973791943481922,,0.0,1.0,1.0
1554973792043758071,80,1554973792043528079,,0.0,1.0,1.0
1554973792143746308,81,1554973792143513917,,0.0,0.0,1.0
1554973792243780460,82,1554973792243501901,,1.0,0.0,1.0
1554973792343743018,83,1554973792343496084,,0.0,1.0,1.0
1554973792443628093,84,1554973792443437099,,0.0,0.0,1.0
1554973792543688555,85,1554973792543487071,,0.0,1.0,1.0
1554973792643863348,86,1554973792643512964,,1.0,1.0,1.0
1554973792743837306,87,1554973792743510961,,1.0,0.0,1.0
1554973792843834280,88,1554973792843514919,,1.0,0.0,1.0
1554973792943667526,89,1554973792943489074,,1.0,1.0,1.0
1554973793043708706,90,1554973793043494939,,0.0,0.0,1.0
1554973793143660873,91,1554973793143496036,,1.0,1.0,1.0
1554973793243654533,92,1554973793243484020,,0.0,0.0,1.0
1554973793343686313,93,1554973793343508958,,0.0,0.0,1.0
1554973793443666717,94,1554973793443476915,,1.0,0.0,1.0
1554973793543725408,95,1554973793543520927,,1.0,1.0,1.0
1554973793643668406,96,1554973793643498897,,0.0,1.0,1.0
1554973793743656811,97,1554973793743486881,,0.0,1.0,1.0
1554973793843693349,98,1554973793843518972,,1.0,0.0,1.0
1554973793943718820,99,1554973793943504095,,0.0,0.0,1.0
1554973794043679931,100,1554973794043513059,,0.0,1.0,1.0
1554973794143691647,101,1554973794143513917,,1.0,0.0,1.0
1554973794243657654,102,1554973794243488073,,0.0,1.0,1.0
1554973794343675013,103,1554973794343494892,,0.0,1.0,1.0
1554973794443664867,104,1554973794443486928,,0.0,1.0,1.0
1554973794543667472,105,1554973794543486118,,0.0,0.0,1.0
1554973794643699308,106,1554973794643513917,,1.0,1.0,1.0
1554973794743652357,107,1554973794743484020,,0.0,0.0,1.0
1554973794843655874,108,1554973794843485116,,1.0,0.0,1.0
1554973794943671228,109,1554973794943479061,,1.0,0.0,1.0
1554973795043666031,110,1554973795043497085,,1.0,0.0,1.0
1554973795143650925,111,1554973795143486022,,1.0,0.0,1.0
1554973795243661790,112,1554973795243489980,,0.0,0.0,1.0
1554973795343673600,113,1554973795343491077,,0.0,0.0,1.0
1554973795443699657,114,1554973795443486928,,0.0,1.0,1.0
1554973795543711644,115,1554973795543500900,,1.0,0.0,1.0
1554973795643753044,116,1554973795643515110,,1.0,1.0,1.0
1554973795743732478,117,1554973795743518114,,0.0,1.0,1.0
1554973795843751668,118,1554973795843501091,,0.0,0.0,1.0
1554973795943745967,119,1554973795943530082,,1.0,1.0,1.0
1554973796043753971,120,1554973796043508052,,1.0,0.0,1.0
1554973796143692869,121,1554973796143495082,,1.0,0.0,1.0
1554973796243655520,122,1554973796243488073,,1.0,1.0,1.0
1554973796343805630,123,1554973796343568086,,0.0,1.0,1.0
1554973796443785425,124,1554973796443547964,,1.0,1.0,1.0
1554973796543672274,125,1554973796543437957,,1.0,0.0,1.0
1554973796643772740,126,1554973796643531084,,0.0,1.0,1.0
1554973796743767138,127,1554973796743535041,,1.0,0.0,1.0
1554973796843665369,128,1554973796843494892,,1.0,1.0,1.0
1554973796943646528,129,1554973796943479061,,1.0,1.0,1.0
1554973797043687008,130,1554973797043515920,,0.0,0.0,1.0
1554973797143695423,131,1554973797143515110,,1.0,0.0,1.0
1554973797243647925,132,1554973797243486881,,0.0,1.0,1.0
1554973797343776478,133,1554973797343543052,,1.0,1.0,1.0
1554973797443796267,134,1554973797443511962,,0.0,1.0,1.0
1554973797543779889,135,1554973797543528079,,0.0,0.0,1.0
1554973797643684496,136,1554973797643493890,,0.0,0.0,1.0
1554973797743687782,137,1554973797743485927,,1.0,1.0,1.0
1554973797843867057,138,1554973797843497991,,0.0,1.0,1.0
1554973797943671547,139,1554973797943507909,,1.0,1.0,1.0
1554973798043661773,140,1554973798043490886,,0.0,1.0,1.0
1554973798143667765,141,1554973798143487930,,0.0,1.0,1.0
1554973798243705443,142,1554973798243525028,,0.0,1.0,1.0
1554973798343679592,143,1554973798343491077,,0.0,1.0,1.0
1554973798443694075,144,1554973798443504095,,1.0,0.0,1.0
1554973798543684434,145,1554973798543486118,,1.0,0.0,1.0
1554973798643673028,146,1554973798643488883,,0.0,1.0,1.0
1554973798743679879,147,1554973798743494033,,1.0,1.0,1.0
1554973798843691123,148,1554973798843511104,,1.0,0.0,1.0
1554973798943608404,149,1554973798943409919,,0.0,0.0,1.0
